0,1,2,3,4,5,6,7,8,9,10,11
343,18,289,253,40,260,43,321,161,107,173,91
343,18,289,253,40,260,43,321,161,107,173,91
173,91,343,18,289,253,40,260,43,321,161,107
173,91,343,18,289,253,40,260,43,321,161,107
1,335,296,54,433,10,328,34,268,420,19,380
1,335,296,54,433,10,328,34,268,420,19,380
19,380,1,335,296,54,433,10,328,34,268,420
19,380,1,335,296,54,433,10,328,34,268,420
376,56,437,37,417,308,132,506,34,360,89,302
376,56,437,37,417,308,132,506,34,360,89,302
89,302,376,56,437,37,417,308,132,506,34,360
89,302,376,56,437,37,417,308,132,506,34,360
94,20,80,48,151,22,93,97,16,103,8,171
94,20,80,48,151,22,93,97,16,103,8,171
8,171,94,20,80,48,151,22,93,97,16,103
8,171,94,20,80,48,151,22,93,97,16,103
165,14,231,82,33,125,44,186,9,166,155,15
165,14,231,82,33,125,44,186,9,166,155,15
155,15,165,14,231,82,33,125,44,186,9,166
155,15,165,14,231,82,33,125,44,186,9,166
0,142,122,22,176,2,138,48,86,182,22,188
0,142,122,22,176,2,138,48,86,182,22,188
22,188,0,142,122,22,176,2,138,48,86,182
22,188,0,142,122,22,176,2,138,48,86,182
163,22,100,107,36,102,18,158,74,30,116,26
163,22,100,107,36,102,18,158,74,30,116,26
116,26,163,22,100,107,36,102,18,158,74,30
116,26,163,22,100,107,36,102,18,158,74,30
963,44,754,796,61,769,57,981,458,199,353,372
963,44,754,796,61,769,57,981,458,199,353,372
353,372,963,44,754,796,61,769,57,981,458,199
353,372,963,44,754,796,61,769,57,981,458,199
1204,240,1036,1606,98,1419,15,1445,961,266,1559,121
1204,240,1036,1606,98,1419,15,1445,961,266,1559,121
1559,121,1204,240,1036,1606,98,1419,15,1445,961,266
1559,121,1204,240,1036,1606,98,1419,15,1445,961,266
10,137,127,18,150,36,178,88,55,71,69,174
10,137,127,18,150,36,178,88,55,71,69,174
69,174,10,137,127,18,150,36,178,88,55,71
69,174,10,137,127,18,150,36,178,88,55,71
538,94,555,85,691,311,220,357,226,728,42,600
538,94,555,85,691,311,220,357,226,728,42,600
42,600,538,94,555,85,691,311,220,357,226,728
42,600,538,94,555,85,691,311,220,357,226,728
273,10,245,0,243,187,35,242,15,167,20,171
273,10,245,0,243,187,35,242,15,167,20,171
20,171,273,10,245,0,243,187,35,242,15,167
20,171,273,10,245,0,243,187,35,242,15,167
86,26,164,11,113,9,119,172,3,141,0,136
86,26,164,11,113,9,119,172,3,141,0,136
0,136,86,26,164,11,113,9,119,172,3,141
0,136,86,26,164,11,113,9,119,172,3,141
571,246,959,98,832,823,93,720,90,931,378,331
571,246,959,98,832,823,93,720,90,931,378,331
378,331,571,246,959,98,832,823,93,720,90,931
378,331,571,246,959,98,832,823,93,720,90,931
332,60,328,14,266,200,96,406,36,364,42,248
332,60,328,14,266,200,96,406,36,364,42,248
42,248,332,60,328,14,266,200,96,406,36,364
42,248,332,60,328,14,266,200,96,406,36,364
347,77,543,31,438,59,361,575,23,472,17,478
347,77,543,31,438,59,361,575,23,472,17,478
17,478,347,77,543,31,438,59,361,575,23,472
17,478,347,77,543,31,438,59,361,575,23,472
60,0,55,8,48,70,5,54,5,52,41,18
60,0,55,8,48,70,5,54,5,52,41,18
41,18,60,0,55,8,48,70,5,54,5,52
41,18,60,0,55,8,48,70,5,54,5,52
84,24,140,12,91,109,28,124,2,152,102,8
84,24,140,12,91,109,28,124,2,152,102,8
102,8,84,24,140,12,91,109,28,124,2,152
102,8,84,24,140,12,91,109,28,124,2,152
494,337,825,199,858,121,753,767,140,906,117,873
494,337,825,199,858,121,753,767,140,906,117,873
117,873,494,337,825,199,858,121,753,767,140,906
117,873,494,337,825,199,858,121,753,767,140,906
776,197,587,880,132,824,74,888,647,197,857,114
776,197,587,880,132,824,74,888,647,197,857,114
857,114,776,197,587,880,132,824,74,888,647,197
857,114,776,197,587,880,132,824,74,888,647,197
191,53,167,255,27,240,15,271,208,55,304,10
191,53,167,255,27,240,15,271,208,55,304,10
304,10,191,53,167,255,27,240,15,271,208,55
304,10,191,53,167,255,27,240,15,271,208,55
505,160,700,82,572,550,109,573,82,703,367,249
505,160,700,82,572,550,109,573,82,703,367,249
367,249,505,160,700,82,572,550,109,573,82,703
367,249,505,160,700,82,572,550,109,573,82,703
88,911,1193,98,1033,139,1105,501,467,1206,65,930
88,911,1193,98,1033,139,1105,501,467,1206,65,930
65,930,88,911,1193,98,1033,139,1105,501,467,1206
65,930,88,911,1193,98,1033,139,1105,501,467,1206
58,407,290,66,372,24,538,244,120,300,160,530
58,407,290,66,372,24,538,244,120,300,160,530
160,530,58,407,290,66,372,24,538,244,120,300
160,530,58,407,290,66,372,24,538,244,120,300
104,156,428,78,458,254,98,176,104,590,346,154
104,156,428,78,458,254,98,176,104,590,346,154
346,154,104,156,428,78,458,254,98,176,104,590
346,154,104,156,428,78,458,254,98,176,104,590
142,29,107,107,27,105,39,161,85,36,89,44
142,29,107,107,27,105,39,161,85,36,89,44
89,44,142,29,107,107,27,105,39,161,85,36
89,44,142,29,107,107,27,105,39,161,85,36
104,76,216,28,182,150,32,194,32,216,118,84
104,76,216,28,182,150,32,194,32,216,118,84
118,84,104,76,216,28,182,150,32,194,32,216
118,84,104,76,216,28,182,150,32,194,32,216
3241,133,2509,2681,197,2486,195,3185,1568,620,1186,1386
3241,133,2509,2681,197,2486,195,3185,1568,620,1186,1386
1186,1386,3241,133,2509,2681,197,2486,195,3185,1568,620
1186,1386,3241,133,2509,2681,197,2486,195,3185,1568,620
931,107,965,55,947,654,241,927,102,951,207,657
931,107,965,55,947,654,241,927,102,951,207,657
207,657,931,107,965,55,947,654,241,927,102,951
207,657,931,107,965,55,947,654,241,927,102,951
79,66,74,93,249,11,180,145,37,155,47,288
79,66,74,93,249,11,180,145,37,155,47,288
47,288,79,66,74,93,249,11,180,145,37,155
47,288,79,66,74,93,249,11,180,145,37,155
79,10,80,22,54,47,26,95,2,72,22,49
79,10,80,22,54,47,26,95,2,72,22,49
22,49,79,10,80,22,54,47,26,95,2,72
22,49,79,10,80,22,54,47,26,95,2,72
1334,170,1504,179,1038,703,332,1854,161,1183,225,962
1334,170,1504,179,1038,703,332,1854,161,1183,225,962
225,962,1334,170,1504,179,1038,703,332,1854,161,1183
225,962,1334,170,1504,179,1038,703,332,1854,161,1183
20,218,120,90,250,16,214,34,200,250,48,218
20,218,120,90,250,16,214,34,200,250,48,218
48,218,20,218,120,90,250,16,214,34,200,250
48,218,20,218,120,90,250,16,214,34,200,250
294,124,497,32,382,322,62,338,89,573,185,172
294,124,497,32,382,322,62,338,89,573,185,172
185,172,294,124,497,32,382,322,62,338,89,573
185,172,294,124,497,32,382,322,62,338,89,573
91,32,98,43,140,1,121,125,4,90,6,153
91,32,98,43,140,1,121,125,4,90,6,153
6,153,91,32,98,43,140,1,121,125,4,90
6,153,91,32,98,43,140,1,121,125,4,90
246,44,180,63,156,218,19,172,59,183,127,65
246,44,180,63,156,218,19,172,59,183,127,65
127,65,246,44,180,63,156,218,19,172,59,183
127,65,246,44,180,63,156,218,19,172,59,183
4,102,140,3,128,0,141,104,38,138,11,107
4,102,140,3,128,0,141,104,38,138,11,107
11,107,4,102,140,3,128,0,141,104,38,138
11,107,4,102,140,3,128,0,141,104,38,138
97,8,101,1,103,79,22,116,11,110,12,90
97,8,101,1,103,79,22,116,11,110,12,90
12,90,97,8,101,1,103,79,22,116,11,110
12,90,97,8,101,1,103,79,22,116,11,110
104,18,148,61,57,93,25,129,14,105,90,23
104,18,148,61,57,93,25,129,14,105,90,23
90,23,104,18,148,61,57,93,25,129,14,105
90,23,104,18,148,61,57,93,25,129,14,105
313,15,547,3,332,49,212,455,17,365,4,398
313,15,547,3,332,49,212,455,17,365,4,398
4,398,313,15,547,3,332,49,212,455,17,365
4,398,313,15,547,3,332,49,212,455,17,365
61,83,84,64,149,22,114,104,45,119,50,130
61,83,84,64,149,22,114,104,45,119,50,130
50,130,61,83,84,64,149,22,114,104,45,119
50,130,61,83,84,64,149,22,114,104,45,119
150,0,153,147,3,137,11,131,69,60,119,25
150,0,153,147,3,137,11,131,69,60,119,25
119,25,150,0,153,147,3,137,11,131,69,60
119,25,150,0,153,147,3,137,11,131,69,60
125,61,60,70,49,126,15,131,104,30,102,25
125,61,60,70,49,126,15,131,104,30,102,25
102,25,125,61,60,70,49,126,15,131,104,30
102,25,125,61,60,70,49,126,15,131,104,30
125,8,110,24,73,144,9,120,0,122,92,22
125,8,110,24,73,144,9,120,0,122,92,22
92,22,125,8,110,24,73,144,9,120,0,122
92,22,125,8,110,24,73,144,9,120,0,122
85,672,243,270,341,221,730,71,561,465,139,505
85,672,243,270,341,221,730,71,561,465,139,505
139,505,85,672,243,270,341,221,730,71,561,465
139,505,85,672,243,270,341,221,730,71,561,465
4,102,140,3,128,0,141,104,38,138,11,107
4,102,140,3,128,0,141,104,38,138,11,107
11,107,4,102,140,3,128,0,141,104,38,138
11,107,4,102,140,3,128,0,141,104,38,138
52,173,292,14,258,26,272,226,52,300,15,251
52,173,292,14,258,26,272,226,52,300,15,251
15,251,52,173,292,14,258,26,272,226,52,300
15,251,52,173,292,14,258,26,272,226,52,300
24,212,40,262,274,30,218,42,264,158,120,304
24,212,40,262,274,30,218,42,264,158,120,304
120,304,24,212,40,262,274,30,218,42,264,158
120,304,24,212,40,262,274,30,218,42,264,158
131,5,101,17,126,46,28,67,39,102,5,98
131,5,101,17,126,46,28,67,39,102,5,98
5,98,131,5,101,17,126,46,28,67,39,102
5,98,131,5,101,17,126,46,28,67,39,102
8,199,142,63,147,14,153,14,122,178,6,190
8,199,142,63,147,14,153,14,122,178,6,190
6,190,8,199,142,63,147,14,153,14,122,178
6,190,8,199,142,63,147,14,153,14,122,178
143,25,237,0,128,6,97,113,0,116,1,142
143,25,237,0,128,6,97,113,0,116,1,142
1,142,143,25,237,0,128,6,97,113,0,116
1,142,143,25,237,0,128,6,97,113,0,116
14,239,164,61,240,21,210,44,181,250,27,203
14,239,164,61,240,21,210,44,181,250,27,203
27,203,14,239,164,61,240,21,210,44,181,250
27,203,14,239,164,61,240,21,210,44,181,250
146,1189,336,564,1597,256,1068,115,1398,1140,105,1193
146,1189,336,564,1597,256,1068,115,1398,1140,105,1193
105,1193,146,1189,336,564,1597,256,1068,115,1398,1140
105,1193,146,1189,336,564,1597,256,1068,115,1398,1140
3,96,98,7,86,17,114,50,34,86,21,102
3,96,98,7,86,17,114,50,34,86,21,102
21,102,3,96,98,7,86,17,114,50,34,86
21,102,3,96,98,7,86,17,114,50,34,86
164,62,97,156,23,169,3,145,116,29,129,8
164,62,97,156,23,169,3,145,116,29,129,8
129,8,164,62,97,156,23,169,3,145,116,29
129,8,164,62,97,156,23,169,3,145,116,29
91,22,100,4,129,116,16,83,19,120,85,33
91,22,100,4,129,116,16,83,19,120,85,33
85,33,91,22,100,4,129,116,16,83,19,120
85,33,91,22,100,4,129,116,16,83,19,120
22,5,33,0,14,0,18,48,0,30,0,37
22,5,33,0,14,0,18,48,0,30,0,37
0,37,22,5,33,0,14,0,18,48,0,30
0,37,22,5,33,0,14,0,18,48,0,30
147,0,142,124,11,150,4,132,30,95,143,4
147,0,142,124,11,150,4,132,30,95,143,4
143,4,147,0,142,124,11,150,4,132,30,95
143,4,147,0,142,124,11,150,4,132,30,95
182,349,28,314,18,287,248,49,363,17,244,61
182,349,28,314,18,287,248,49,363,17,244,61
244,61,182,349,28,314,18,287,248,49,363,17
244,61,182,349,28,314,18,287,248,49,363,17
270,225,567,89,406,374,67,537,74,638,348,83
270,225,567,89,406,374,67,537,74,638,348,83
348,83,270,225,567,89,406,374,67,537,74,638
348,83,270,225,567,89,406,374,67,537,74,638
60,3,148,0,51,3,56,177,0,100,0,135
60,3,148,0,51,3,56,177,0,100,0,135
0,135,60,3,148,0,51,3,56,177,0,100
0,135,60,3,148,0,51,3,56,177,0,100
1541,953,3158,481,1521,614,1791,2441,411,2282,815,1855
1541,953,3158,481,1521,614,1791,2441,411,2282,815,1855
815,1855,1541,953,3158,481,1521,614,1791,2441,411,2282
815,1855,1541,953,3158,481,1521,614,1791,2441,411,2282
221,164,173,136,28,365,34,134,49,147,251,121
221,164,173,136,28,365,34,134,49,147,251,121
251,121,221,164,173,136,28,365,34,134,49,147
251,121,221,164,173,136,28,365,34,134,49,147
106,241,83,275,527,28,406,61,350,366,69,514
106,241,83,275,527,28,406,61,350,366,69,514
69,514,106,241,83,275,527,28,406,61,350,366
69,514,106,241,83,275,527,28,406,61,350,366
727,123,373,146,276,661,66,383,88,459,373,102
727,123,373,146,276,661,66,383,88,459,373,102
373,102,727,123,373,146,276,661,66,383,88,459
373,102,727,123,373,146,276,661,66,383,88,459
2292,614,2112,4211,435,2793,1015,2734,2216,996,4335,932
2292,614,2112,4211,435,2793,1015,2734,2216,996,4335,932
4335,932,2292,614,2112,4211,435,2793,1015,2734,2216,996
4335,932,2292,614,2112,4211,435,2793,1015,2734,2216,996
824,309,1154,670,599,783,233,1245,485,1059,1000,427
824,309,1154,670,599,783,233,1245,485,1059,1000,427
1000,427,824,309,1154,670,599,783,233,1245,485,1059
1000,427,824,309,1154,670,599,783,233,1245,485,1059
13,74,26,0,22,20,69,38,20,29,20,21
13,74,26,0,22,20,69,38,20,29,20,21
20,21,13,74,26,0,22,20,69,38,20,29
20,21,13,74,26,0,22,20,69,38,20,29
1,89,203,4,129,12,176,159,8,151,11,136
1,89,203,4,129,12,176,159,8,151,11,136
11,136,1,89,203,4,129,12,176,159,8,151
11,136,1,89,203,4,129,12,176,159,8,151
14,38,6,54,103,0,52,11,39,37,14,100
14,38,6,54,103,0,52,11,39,37,14,100
14,100,14,38,6,54,103,0,52,11,39,37
14,100,14,38,6,54,103,0,52,11,39,37
920,274,1276,579,338,1367,74,642,77,618,1366,133
920,274,1276,579,338,1367,74,642,77,618,1366,133
1366,133,920,274,1276,579,338,1367,74,642,77,618
1366,133,920,274,1276,579,338,1367,74,642,77,618
250,47,211,49,188,56,114,145,20,249,4,297
250,47,211,49,188,56,114,145,20,249,4,297
4,297,250,47,211,49,188,56,114,145,20,249
4,297,250,47,211,49,188,56,114,145,20,249
841,477,235,600,2865,201,1437,500,952,1371,224,3150
841,477,235,600,2865,201,1437,500,952,1371,224,3150
224,3150,841,477,235,600,2865,201,1437,500,952,1371
224,3150,841,477,235,600,2865,201,1437,500,952,1371
23,0,16,0,37,17,0,19,6,23,0,14
23,0,16,0,37,17,0,19,6,23,0,14
0,14,23,0,16,0,37,17,0,19,6,23
0,14,23,0,16,0,37,17,0,19,6,23
364,2,106,33,84,385,4,136,0,206,214,13
364,2,106,33,84,385,4,136,0,206,214,13
214,13,364,2,106,33,84,385,4,136,0,206
214,13,364,2,106,33,84,385,4,136,0,206
354,31,215,10,281,134,30,294,12,233,7,173
354,31,215,10,281,134,30,294,12,233,7,173
7,173,354,31,215,10,281,134,30,294,12,233
7,173,354,31,215,10,281,134,30,294,12,233
1819,327,1985,465,1093,542,816,2122,204,1466,397,1271
1819,327,1985,465,1093,542,816,2122,204,1466,397,1271
397,1271,1819,327,1985,465,1093,542,816,2122,204,1466
397,1271,1819,327,1985,465,1093,542,816,2122,204,1466
136,0,56,0,131,22,0,19,14,26,0,56
136,0,56,0,131,22,0,19,14,26,0,56
0,56,136,0,56,0,131,22,0,19,14,26
0,56,136,0,56,0,131,22,0,19,14,26
